Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,839,63,64,6210.00,0.630952,141.824,1282.52,2574.41,181891,0.00000,64.0147,64.8661,2.64493,2.64493,25.4925
Series 1.tif: x0 y0 w128 h128,840,64,64,6939.00,0.761093,139.141,486.555,3773.55,67699.5,0.00000,64.4318,64.6642,1.70863,1.70863,27.3038
Series 1.tif: x0 y0 w128 h128,837,64,65,6804.00,0.672823,140.059,870.636,3514.87,121941,0.00000,64.4251,64.9003,2.16602,2.16602,25.5545
Series 1.tif: x0 y0 w128 h128,847,64,64,6477.00,0.725851,136.602,441.552,3383.54,60316.7,0.00000,63.9966,64.6497,1.73675,1.73675,29.5162
Series 1.tif: x0 y0 w128 h128,848,64,65,7499.00,0.638029,135.452,484.242,3438.87,65591.5,0.00000,64.1049,64.9716,1.79365,1.79365,29.1627
Series 1.tif: x0 y0 w128 h128,844,64,65,6371.00,0.496207,138.649,464.463,3639.40,64397.3,0.00000,64.2312,65.1780,1.93614,1.93614,32.0114
Series 1.tif: x0 y0 w128 h128,845,64,64,6067.00,0.625173,137.500,603.256,3030.25,82947.7,0.00000,64.4934,64.9412,1.91168,1.91168,27.5131
Series 1.tif: x0 y0 w128 h128,851,64,65,6091.00,0.580810,132.478,182.784,4011.56,24214.9,0.00000,64.3774,65.3489,1.35043,1.35043,37.1934
Series 1.tif: x0 y0 w128 h128,853,64,64,5330.00,0.796128,132.904,505.420,3318.01,67172.5,0.00000,63.9699,64.7236,1.84100,1.84100,29.5464
Series 1.tif: x0 y0 w128 h128,849,64,64,6122.00,0.690755,137.550,1551.06,1882.16,213348,0.00000,64.4008,64.7970,2.75362,2.75362,24.3848
Series 1.tif: x0 y0 w128 h128,852,64,64,5504.00,0.530843,133.110,553.077,3449.74,73620.2,0.00000,64.0793,64.8715,2.18532,2.18532,33.7493
Series 1.tif: x0 y0 w128 h128,854,63,64,7394.00,0.724587,131.910,1063.31,2204.15,140262,0.00000,63.9550,64.8661,2.35533,2.35533,25.7965
Series 1.tif: x0 y0 w128 h128,854,55,43,1834.00,0.589224,131.910,20.2714,1514.82,2674.00,0.00000,54.9179,44.1181,0.356924,0.356924,37.1892
Series 1.tif: x0 y0 w128 h128,846,64,65,8038.00,0.700165,133.375,777.546,3040.92,103705,0.00000,64.0111,65.0116,2.05385,2.05385,26.2665
Series 1.tif: x0 y0 w128 h128,918,64,64,6458.00,0.650360,135.976,1142.91,2827.67,155408,0.00000,64.1923,64.7892,2.54415,2.54415,26.5377
Series 1.tif: x0 y0 w128 h128,919,64,64,7419.00,0.828386,136.287,971.415,2813.47,132391,0.00000,64.3058,64.5792,2.22194,2.22194,25.0777
Series 1.tif: x0 y0 w128 h128,916,64,64,7263.00,0.751407,137.549,828.518,3519.03,113962,0.00000,64.3665,64.7447,2.09975,2.09975,25.6146
Series 1.tif: x0 y0 w128 h128,915,64,64,8164.00,0.816805,136.581,1362.19,2730.10,186049,0.00000,64.3430,64.9406,2.32279,2.32279,21.9491
Series 1.tif: x0 y0 w128 h128,925,64,64,6450.00,0.650489,136.756,1447.76,2092.16,197990,0.00000,64.3884,64.8628,2.64924,2.64924,24.3544
Series 1.tif: x0 y0 w128 h128,917,64,64,7840.00,0.675181,142.104,347.063,4324.18,49319.1,0.00000,64.1551,64.7166,1.54312,1.54312,29.1685
Series 1.tif: x0 y0 w128 h128,920,64,64,6168.00,0.595227,137.343,1906.81,1859.69,261887,0.00000,64.0661,64.9074,2.91162,2.91162,23.1944
Series 1.tif: x0 y0 w128 h128,922,63,64,6817.00,0.680159,138.788,908.951,2915.75,126152,0.00000,64.0264,64.6212,2.15524,2.15524,24.9513
Series 1.tif: x0 y0 w128 h128,927,64,64,5811.00,0.588172,134.530,534.383,3428.83,71890.2,0.00000,64.2896,64.5157,2.03115,2.03115,31.6396
Series 1.tif: x0 y0 w128 h128,928,64,64,6150.00,0.739158,131.948,503.624,3410.53,66452.1,0.00000,64.1252,64.9464,1.82050,1.82050,29.3543
Series 1.tif: x0 y0 w128 h128,932,63,64,4986.00,0.665439,134.972,1051.24,2555.33,141888,0.00000,63.7943,64.4863,2.49050,2.49050,27.2271
Series 1.tif: x0 y0 w128 h128,924,63,64,6505.00,0.753199,132.075,699.207,3299.27,92347.5,0.00000,63.6809,64.5944,1.78823,1.78823,24.1846
Series 1.tif: x0 y0 w128 h128,934,63,64,5396.00,0.620147,123.053,652.206,2765.41,80255.9,0.00000,63.9600,64.1180,2.26194,2.26194,33.1729
Series 1.tif: x0 y0 w128 h128,933,63,64,5163.00,0.701422,135.183,604.127,3106.55,81667.5,0.00000,63.8533,65.0754,2.04322,2.04322,29.7230
Series 1.tif: x0 y0 w128 h128,929,64,64,7210.00,0.723012,137.109,572.676,3160.51,78518.9,0.00000,64.2775,64.4912,1.87428,1.87428,27.7484
Series 1.tif: x0 y0 w128 h128,931,63,64,5762.00,0.644233,137.508,1035.56,2449.40,142398,0.00000,63.8064,64.7664,2.46950,2.46950,26.9682
Series 1.tif: x0 y0 w128 h128,994,64,65,9054.00,0.763339,137.061,646.992,3659.97,88677.4,0.00000,64.1469,65.3639,1.78137,1.78137,24.6634
Series 1.tif: x0 y0 w128 h128,995,64,65,6793.00,0.636495,145.869,913.004,3247.34,133179,0.00000,64.2069,64.9354,2.25221,2.25221,25.4701
Series 1.tif: x0 y0 w128 h128,999,64,64,4650.00,0.719278,134.790,1757.56,1821.49,236901,0.00000,64.5478,64.8890,2.90207,2.90207,24.3457
Series 1.tif: x0 y0 w128 h128,998,64,64,6492.00,0.661221,138.228,604.706,3565.28,83587.0,0.00000,64.7908,64.7577,1.97264,1.97264,28.3313
Series 1.tif: x0 y0 w128 h128,996,64,64,7355.00,0.740996,134.751,549.219,3833.28,74008.0,0.00000,64.3224,64.5837,1.83591,1.83591,27.9938
Series 1.tif: x0 y0 w128 h128,997,64,64,7017.00,0.652857,138.379,580.626,3670.52,80346.5,0.00000,64.2301,64.9035,1.98055,1.98055,29.0677
Series 1.tif: x0 y0 w128 h128,1000,64,64,6174.00,0.639223,136.512,1026.71,2773.44,140159,0.00000,64.6201,64.7717,2.48867,2.48867,27.4071
Series 1.tif: x0 y0 w128 h128,1001,64,64,8228.00,0.539743,141.839,548.636,3514.97,77818.0,0.00000,64.5864,64.8320,2.05916,2.05916,30.8976
Series 1.tif: x0 y0 w128 h128,1002,64,65,6065.00,0.630060,135.698,291.654,3942.74,39577.0,0.00000,63.9310,65.2388,1.39291,1.39291,29.4193
Series 1.tif: x0 y0 w128 h128,1007,64,64,5501.00,0.697147,135.265,2065.85,1072.27,279437,0.00000,64.3849,64.8336,2.87613,2.87613,22.1152
Series 1.tif: x0 y0 w128 h128,1004,63,64,6377.00,0.571072,133.596,321.824,3846.58,42994.6,0.00000,64.1596,64.8439,1.67692,1.67692,34.1375
Series 1.tif: x0 y0 w128 h128,1005,64,64,5572.00,0.728705,135.296,899.705,2683.40,121727,0.00000,64.3071,64.8000,2.31916,2.31916,27.4178
Series 1.tif: x0 y0 w128 h128,1009,64,65,5569.00,0.470656,137.608,379.528,3655.77,52225.9,0.00000,64.2892,64.8134,1.82371,1.82371,33.6582
Series 1.tif: x0 y0 w128 h128,1010,64,64,6617.00,0.738706,130.623,313.475,3687.98,40947.0,0.00000,64.1421,64.8872,1.52778,1.52778,31.7019
Series 1.tif: x0 y0 w128 h128,1008,64,64,6648.00,0.545705,135.778,761.946,2922.74,103456,0.00000,64.3750,64.5446,2.23920,2.23920,28.8389
Series 1.tif: x0 y0 w128 h128,1012,64,64,6559.00,0.704907,130.853,1320.20,2155.57,172752,0.00000,64.1823,65.0603,2.62758,2.62758,25.8867
Series 1.tif: x0 y0 w128 h128,1073,64,65,6688.00,0.735098,129.966,718.310,3469.45,93355.9,0.00000,64.1113,65.0286,1.97664,1.97664,26.6455
Series 1.tif: x0 y0 w128 h128,1074,64,64,8035.00,0.746851,134.451,931.628,3535.20,125258,0.00000,64.1426,64.8592,2.17277,2.17277,25.2088
Series 1.tif: x0 y0 w128 h128,1077,64,64,9360.00,0.826937,138.426,762.065,3273.42,105490,0.00000,64.3869,64.6896,1.88022,1.88022,23.8023
Series 1.tif: x0 y0 w128 h128,1082,64,64,6534.00,0.637085,133.344,544.914,3529.44,72661.2,0.00000,64.0865,64.6504,1.97469,1.97469,30.5037
Series 1.tif: x0 y0 w128 h128,1080,64,65,5889.00,0.649705,135.771,356.426,4062.79,48392.2,0.00000,64.1233,65.1159,1.54091,1.54091,29.3145
Series 1.tif: x0 y0 w128 h128,1079,63,64,8989.00,0.646461,134.021,674.223,3419.20,90359.8,0.00000,63.6598,64.7712,1.97066,1.97066,27.0816
Series 1.tif: x0 y0 w128 h128,1081,63,64,6614.00,0.602587,140.034,803.130,2979.95,112466,0.00000,63.8698,64.9110,2.23982,2.23982,27.6444
Series 1.tif: x0 y0 w128 h128,1083,64,64,6773.00,0.664094,135.841,899.505,2806.30,122189,0.00000,64.2834,64.8069,2.30847,2.30847,27.2370
Series 1.tif: x0 y0 w128 h128,1083,76,76,1597.00,0.256714,135.841,27.3791,1725.37,3719.19,0.00000,75.9615,77.1229,0.272175,0.272175,26.5824
Series 1.tif: x0 y0 w128 h128,1084,64,64,7431.00,0.583060,131.723,346.529,3869.14,45645.9,0.00000,64.6902,64.5073,1.54819,1.54819,30.3298
Series 1.tif: x0 y0 w128 h128,1076,64,64,7453.00,0.735333,135.969,690.477,3638.03,93883.5,0.00000,64.0229,64.7455,1.98748,1.98748,26.7973
Series 1.tif: x0 y0 w128 h128,1087,64,65,6673.00,0.778228,132.122,621.660,3113.84,82135.3,0.00000,64.2017,64.9514,1.93550,1.93550,27.9398
Series 1.tif: x0 y0 w128 h128,1091,64,64,5423.00,0.639027,128.532,520.564,2906.03,66909.0,0.00000,64.0875,64.7967,1.91674,1.91674,30.8130
Series 1.tif: x0 y0 w128 h128,1088,63,64,7262.00,0.619805,133.224,873.104,2909.15,116318,0.00000,63.7828,65.0377,2.27152,2.27152,27.4554
