Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,602,64,64,6216.00,0.739211,172.554,599.573,2522.15,103459,0.00000,64.2040,64.4410,2.06295,2.06295,26.9928
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,668,64,64,3584.00,0.619199,122.733,283.142,2035.82,34751.0,0.00000,64.5257,64.6065,1.72485,1.72485,39.2272
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,669,64,64,6634.00,0.736328,178.442,415.923,3344.01,74218.1,0.00000,64.7829,64.5201,1.82666,1.82666,28.5502
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,670,64,64,6324.00,0.599195,179.028,434.440,3448.92,77776.7,0.00000,64.6683,64.4873,1.97831,1.97831,30.3716
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,671,64,64,6547.00,0.748906,181.082,738.854,2682.23,133793,0.00000,64.5222,64.3831,2.27108,2.27108,26.1261
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,672,64,64,7211.00,0.727697,181.099,832.256,2548.86,150721,0.00000,64.3616,64.4126,2.25367,2.25367,24.2654
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,673,64,64,7419.00,0.661380,180.964,325.513,3660.10,58906.0,0.00000,64.3529,64.5928,1.66363,1.66363,29.4002
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,674,64,64,7547.00,0.735533,180.362,389.496,3327.91,70250.4,0.00000,64.4753,64.7382,1.64671,1.64671,26.3403
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,675,64,64,6854.00,0.747100,182.360,474.606,3048.66,86549.2,0.00000,64.1871,64.4180,1.87212,1.87212,26.9821
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,677,64,64,6115.00,0.689252,181.139,473.766,3318.68,85817.5,0.00000,64.4170,64.8439,1.99565,1.99565,29.0529
