Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,+/-,Signal,+/-,Angle,+/-,X,+/-,Y,+/-,X SD,+/-,Y SD,+/-,Precision (nm)
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,36,45,49,31237,0.798494,19.7273,330.985,236.321,0.0096175,6529.42,0.523948,0,0,-31.37090992,0.00651406,21.78561212,0.00651236,244.848,0.00947218,244.848,0.00947218,8.26735
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,37,45,49,26921,0.728874,20.0757,215.264,280.932,0.0068815,4321.58,0.32223,0,0,-10.86090992,0.00738424,45.78561212,0.00738343,212.61,0.0084399,212.61,0.0084399,9.29616
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,38,45,49,25133,0.707128,20.3805,420.545,217.769,0.0188747,8570.92,1.38817,0,0,-70.70090992,0.00844197,-17.94438788,0.00845802,312.219,0.0204089,312.219,0.0204089,9.8187
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,39,45,49,23268,0.685006,19.8461,371.322,247.719,0.0156061,7369.31,1.06056,0,0,-89.87090992,0.00858267,13.88561212,0.00853077,293.824,0.0178489,293.824,0.0178489,9.92006
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,40,45,49,33866,0.825632,19.9743,277.422,265.46,0.00850746,5541.31,0.439941,0,0,-30.70090992,0.00696096,-14.82438788,0.00696375,233.481,0.00925782,233.481,0.00925782,8.79087
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,41,45,49,27075,0.693503,20.4912,367.547,234.96,0.0152575,7531.48,1.01434,0,0,-60.48090992,0.00806372,0.515612117,0.00806363,289.296,0.016577,289.296,0.016577,9.69785
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,42,45,49,32086,0.710118,20.669,298.247,243.69,0.0105412,6164.46,0.597202,0,0,-60.50090992,0.00741315,14.38561212,0.00741134,253.468,0.0115343,253.468,0.0115343,9.32298
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,44,45,49,28143,0.711404,19.6195,301.452,251.422,0.0113749,5914.33,0.667912,0,0,-30.29090992,0.00823914,27.32561212,0.00823739,261.277,0.0135588,261.277,0.0135588,9.79103
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,48,45,49,29982,0.671676,19.9588,501.695,209.307,0.021508,10013.2,1.65081,0,0,-56.66090992,0.00779337,17.98561212,0.00779167,322.783,0.0209053,322.783,0.0209053,9.04689
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,49,45,49,25168,0.687705,20.0538,296.932,264.169,0.0111522,5954.6,0.652277,0,0,-40.35090992,0.00811061,-21.37438788,0.00812783,260.226,0.013157,260.226,0.013157,9.79988
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,50,45,49,23488,0.708049,19.9768,525.46,201.845,0.0249358,10497,2.05637,0,0,-76.79090992,0.00844346,25.70561212,0.00841205,339.628,0.0253025,339.628,0.0253025,9.42693
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,51,45,49,23163,0.614271,19.8196,899.153,121.227,0.0499289,17820.8,5.64096,0,0,-96.88090992,0.00879785,22.00561212,0.00862825,419.433,0.0446683,419.433,0.0446683,8.60376
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,54,45,49,19224,0.566671,20.006,905.664,116.393,0.0577827,18118.7,6.95849,0,0,-95.84090992,0.00971732,-1.674387883,0.00953714,436.889,0.0552956,436.889,0.0552956,9.08082
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,55,45,49,28963,0.724669,19.7044,244.237,285.671,0.00887515,4812.56,0.466042,0,0,-51.05090992,0.00825491,28.58561212,0.00825696,236.906,0.0113265,236.906,0.0113265,9.94479
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,56,45,49,22870,0.623203,19.9331,460.161,221.312,0.0205691,9172.41,1.56396,0,0,-79.02090992,0.00838549,23.87561212,0.00835215,320.18,0.0216233,320.18,0.0216233,9.5572
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,58,45,49,22782,0.740476,19.7731,342.378,223.61,0.0134885,6769.85,0.877771,0,0,-50.55090992,0.00855786,77.99561212,0.00866274,283.112,0.0160218,283.112,0.0160218,9.99618
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,59,45,49,30953,0.708013,20.7488,367.875,232.748,0.0159055,7632.96,1.08985,0,0,-28.84090992,0.00836657,-24.32438788,0.0083964,295.71,0.0177387,295.71,0.0177387,9.99686
