Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,8727,64,65,4210.00,0.501004,151.616,213.630,2562.61,32389.8,0.00000,64.5710,65.3491,1.56940,1.56940,37.8063
Series 1.tif: x0 y0 w128 h128,8733,64,65,3121.00,0.589603,148.821,805.977,1378.10,119946,0.00000,64.0130,65.1295,2.94417,2.94417,36.1430
Series 1.tif: x0 y0 w128 h128,8737,64,64,3509.00,0.532510,147.384,64.7898,2614.55,9548.95,0.00000,65.2888,65.1086,0.816541,0.816541,37.6383
Series 1.tif: x0 y0 w128 h128,8740,64,65,3151.00,0.521984,150.787,492.799,1785.73,74307.5,0.00000,64.7233,65.3069,2.49943,2.49943,39.5589
Series 1.tif: x0 y0 w128 h128,8728,63,64,3959.00,0.725873,148.779,961.929,1282.11,143115,0.00000,64.1245,64.5743,2.89113,2.89113,32.0878
Series 1.tif: x0 y0 w128 h128,8728,52,57,2058.00,0.234669,148.779,15.3699,1796.51,2286.71,0.00000,52.0294,58.1154,0.327617,0.327617,38.9945
Series 1.tif: x0 y0 w128 h128,8743,64,64,4508.00,0.663961,149.082,352.948,2197.95,52618.0,0.00000,64.8454,64.7372,1.87136,1.87136,34.7844
Series 1.tif: x0 y0 w128 h128,8814,64,64,3913.00,0.675977,149.069,163.487,2315.88,24371.0,0.00000,64.3049,64.7858,1.41072,1.41072,39.4602
Series 1.tif: x0 y0 w128 h128,8817,64,64,3609.00,0.571629,148.710,479.458,1786.09,71300.5,0.00000,64.3734,64.9236,2.38176,2.38176,38.2780
Series 1.tif: x0 y0 w128 h128,8829,64,65,3808.00,0.512873,149.574,584.098,1727.57,87366.2,0.00000,64.2793,64.8783,2.59776,2.59776,37.6183
Series 1.tif: x0 y0 w128 h128,8813,64,64,4183.00,0.680340,149.274,176.163,2404.28,26296.6,0.00000,64.8919,64.9695,1.38373,1.38373,36.9981
Series 1.tif: x0 y0 w128 h128,8899,63,65,6695.00,0.821701,127.964,182.987,2280.50,23415.7,0.00000,63.6827,65.1612,0.901109,0.901109,25.0958
Series 1.tif: x0 y0 w128 h128,8902,64,64,5821.00,0.782922,152.241,209.541,2623.64,31900.6,0.00000,64.3934,64.7312,1.23200,1.23200,29.4238
Series 1.tif: x0 y0 w128 h128,8905,64,64,5129.00,0.727261,150.064,226.869,2684.20,34044.9,0.00000,64.2229,64.7521,1.38357,1.38357,32.0236
Series 1.tif: x0 y0 w128 h128,8900,64,65,5340.00,0.787923,149.610,226.056,2613.69,33820.3,0.00000,64.0552,64.9901,1.17550,1.17550,27.1126
Series 1.tif: x0 y0 w128 h128,8901,64,64,5615.00,0.743576,150.984,158.255,2903.67,23894.0,0.00000,64.1560,64.8647,0.973522,0.973522,27.0760
Series 1.tif: x0 y0 w128 h128,8907,64,64,3396.00,0.641056,148.159,277.846,2291.00,41165.5,0.00000,64.2079,64.4669,1.73215,1.73215,36.6643
Series 1.tif: x0 y0 w128 h128,8903,64,64,6985.00,0.822749,149.795,126.010,2853.85,18875.7,0.00000,63.9363,64.5735,0.817568,0.817568,25.9116
Series 1.tif: x0 y0 w128 h128,8914,63,64,5304.00,0.663292,151.702,417.194,1963.81,63289.3,0.00000,63.8648,64.5422,1.97580,1.97580,33.3582
Series 1.tif: x0 y0 w128 h128,8908,63,64,4265.00,0.673773,150.956,191.894,2432.27,28967.7,0.00000,64.0150,64.0691,1.40620,1.40620,35.6961
Series 1.tif: x0 y0 w128 h128,8906,64,64,4531.00,0.711273,150.017,167.641,2571.66,25148.9,0.00000,64.2177,64.6065,1.34330,1.34330,36.7687
Series 1.tif: x0 y0 w128 h128,8910,64,64,3485.00,0.675420,150.313,333.523,2076.62,50132.8,0.00000,64.4670,64.3744,1.90822,1.90822,36.5641
Series 1.tif: x0 y0 w128 h128,8917,64,64,3396.00,0.608691,148.926,327.428,2049.57,48762.5,0.00000,64.5414,64.9677,1.89673,1.89673,36.8496
Series 1.tif: x0 y0 w128 h128,8913,63,64,5801.00,0.728789,147.123,159.161,2638.03,23416.3,0.00000,63.7265,65.0484,1.05813,1.05813,29.7039
Series 1.tif: x0 y0 w128 h128,8918,64,65,3647.00,0.507140,148.527,535.932,1835.38,79600.2,0.00000,64.4708,65.1160,2.41517,2.41517,36.5143
Series 1.tif: x0 y0 w128 h128,8909,63,64,5109.00,0.787122,147.252,343.919,2106.15,50642.7,0.00000,63.8985,64.6152,1.74717,1.74717,32.9268
Series 1.tif: x0 y0 w128 h128,8904,64,64,4687.00,0.649534,147.828,223.512,2247.27,33041.4,0.00000,64.1113,64.8517,1.55474,1.55474,36.8662
Series 1.tif: x0 y0 w128 h128,8989,64,65,4007.00,0.495692,147.794,299.480,2218.26,44261.4,0.00000,64.4611,65.3024,1.93734,1.93734,39.8342
Series 1.tif: x0 y0 w128 h128,8999,64,65,4398.00,0.559226,147.597,81.5304,2630.73,12033.7,0.00000,64.6916,65.8276,0.957930,0.957930,38.8959
Series 1.tif: x0 y0 w128 h128,9000,64,64,4468.00,0.502928,150.906,37.4026,2634.47,5644.27,0.00000,64.5586,65.0750,0.563178,0.563178,35.6430
Series 1.tif: x0 y0 w128 h128,9004,64,64,3720.00,0.715377,149.347,155.709,2307.46,23254.6,0.00000,64.5304,65.2315,1.32950,1.32950,37.9922
Series 1.tif: x0 y0 w128 h128,9072,64,65,3931.00,0.632931,150.235,421.803,1749.54,63369.3,0.00000,64.1908,65.1084,2.28741,2.28741,39.1857
