midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,centralX,centralY,cenx,ceny
114.7417824,-560,184.7417824,-560,44.7417824,-560,94.7417824,-560,134.7417824,-560
114.0873824,-558.5584,184.0873824,-558.5584,44.0873824,-558.5584,94.0873824,-558.5584,134.0873824,-558.5584
113.4345824,-557.1168,183.4345824,-557.1168,43.4345824,-557.1168,93.4345824,-557.1168,133.4345824,-557.1168
112.7833824,-555.6752,182.7833824,-555.6752,42.7833824,-555.6752,92.7833824,-555.6752,132.7833824,-555.6752
112.1337824,-554.2336,182.1337824,-554.2336,42.1337824,-554.2336,92.1337824,-554.2336,132.1337824,-554.2336
111.4841824,-552.792,181.4841824,-552.792,41.4841824,-552.792,91.4841824,-552.792,131.4841824,-552.792
110.8361824,-551.352,180.8361824,-551.352,40.8361824,-551.352,90.8361824,-551.352,130.8361824,-551.352
110.1897824,-549.9104,180.1897824,-549.9104,40.1897824,-549.9104,90.1897824,-549.9104,130.1897824,-549.9104
109.5449824,-548.4688,179.5449824,-548.4688,39.5449824,-548.4688,89.5449824,-548.4688,129.5449824,-548.4688
108.9001824,-547.0272,178.9001824,-547.0272,38.9001824,-547.0272,88.9001824,-547.0272,128.9001824,-547.0272
108.2569824,-545.5856,178.2569824,-545.5856,38.2569824,-545.5856,88.2569824,-545.5856,128.2569824,-545.5856
107.6153824,-544.144,177.6153824,-544.144,37.6153824,-544.144,87.6153824,-544.144,127.6153824,-544.144
106.9737824,-542.7024,176.9737824,-542.7024,36.9737824,-542.7024,86.9737824,-542.7024,126.9737824,-542.7024
106.3353824,-541.2608,176.3353824,-541.2608,36.3353824,-541.2608,86.3353824,-541.2608,126.3353824,-541.2608
105.6969824,-539.8192,175.6969824,-539.8192,35.6969824,-539.8192,85.6969824,-539.8192,125.6969824,-539.8192
105.0585824,-538.3776,175.0585824,-538.3776,35.0585824,-538.3776,85.0585824,-538.3776,125.0585824,-538.3776
104.4233824,-536.9376,174.4233824,-536.9376,34.4233824,-536.9376,84.4233824,-536.9376,124.4233824,-536.9376
103.7881824,-535.496,173.7881824,-535.496,33.7881824,-535.496,83.7881824,-535.496,123.7881824,-535.496
103.1545824,-534.0544,173.1545824,-534.0544,33.1545824,-534.0544,83.1545824,-534.0544,123.1545824,-534.0544
102.5225824,-532.6128,172.5225824,-532.6128,32.5225824,-532.6128,82.5225824,-532.6128,122.5225824,-532.6128
101.8921824,-531.1712,171.8921824,-531.1712,31.8921824,-531.1712,81.8921824,-531.1712,121.8921824,-531.1712
101.2617824,-529.7296,171.2617824,-529.7296,31.2617824,-529.7296,81.2617824,-529.7296,121.2617824,-529.7296
100.6329824,-528.288,170.6329824,-528.288,30.6329824,-528.288,80.6329824,-528.288,120.6329824,-528.288
100.0057824,-526.8464,170.0057824,-526.8464,30.0057824,-526.8464,80.0057824,-526.8464,120.0057824,-526.8464
99.3785824,-525.4048,169.3785824,-525.4048,29.3785824,-525.4048,79.3785824,-525.4048,119.3785824,-525.4048
98.7529824,-523.9632,168.7529824,-523.9632,28.7529824,-523.9632,78.7529824,-523.9632,118.7529824,-523.9632
98.1289824,-522.5232,168.1289824,-522.5232,28.1289824,-522.5232,78.1289824,-522.5232,118.1289824,-522.5232
97.5065824,-521.0816,167.5065824,-521.0816,27.5065824,-521.0816,77.5065824,-521.0816,117.5065824,-521.0816
96.8841824,-519.64,166.8841824,-519.64,26.8841824,-519.64,76.8841824,-519.64,116.8841824,-519.64
96.2649824,-518.1984,166.2649824,-518.1984,26.2649824,-518.1984,76.2649824,-518.1984,116.2649824,-518.1984
95.6457824,-516.7568,165.6457824,-516.7568,25.6457824,-516.7568,75.6457824,-516.7568,115.6457824,-516.7568
95.0265824,-515.3152,165.0265824,-515.3152,25.0265824,-515.3152,75.0265824,-515.3152,115.0265824,-515.3152
