midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,NucChnlX,NucChnlY,CytChnlx,CytChnly
3.33711,-709.72973,73.33711,-709.72973,-96.66289,-709.72973,-16.66289,-709.72973,23.33711,-709.72973
3.60323,-707.56757,73.60323,-707.56757,-96.39677,-707.56757,-16.39677,-707.56757,23.60323,-707.56757
3.86849,-705.40541,73.86849,-705.40541,-96.13151,-705.40541,-16.13151,-705.40541,23.86849,-705.40541
4.13288,-703.24324,74.13288,-703.24324,-95.86712,-703.24324,-15.86712,-703.24324,24.13288,-703.24324
4.3964,-701.08108,74.3964,-701.08108,-95.6036,-701.08108,-15.6036,-701.08108,24.3964,-701.08108
4.65906,-698.91892,74.65906,-698.91892,-95.34094,-698.91892,-15.34094,-698.91892,24.65906,-698.91892
4.92085,-696.75676,74.92085,-696.75676,-95.07915,-696.75676,-15.07915,-696.75676,24.92085,-696.75676
5.18178,-694.59459,75.18178,-694.59459,-94.81822,-694.59459,-14.81822,-694.59459,25.18178,-694.59459
5.44184,-692.43243,75.44184,-692.43243,-94.55816,-692.43243,-14.55816,-692.43243,25.44184,-692.43243
5.70104,-690.27027,75.70104,-690.27027,-94.29896,-690.27027,-14.29896,-690.27027,25.70104,-690.27027
5.95937,-688.10811,75.95937,-688.10811,-94.04063,-688.10811,-14.04063,-688.10811,25.95937,-688.10811
6.21684,-685.94595,76.21684,-685.94595,-93.78316,-685.94595,-13.78316,-685.94595,26.21684,-685.94595
6.47344,-683.78378,76.47344,-683.78378,-93.52656,-683.78378,-13.52656,-683.78378,26.47344,-683.78378
6.72917,-681.62162,76.72917,-681.62162,-93.27083,-681.62162,-13.27083,-681.62162,26.72917,-681.62162
6.98404,-679.45946,76.98404,-679.45946,-93.01596,-679.45946,-13.01596,-679.45946,26.98404,-679.45946
7.23804,-677.2973,77.23804,-677.2973,-92.76196,-677.2973,-12.76196,-677.2973,27.23804,-677.2973
7.49118,-675.13514,77.49118,-675.13514,-92.50882,-675.13514,-12.50882,-675.13514,27.49118,-675.13514
7.74345,-672.97297,77.74345,-672.97297,-92.25655,-672.97297,-12.25655,-672.97297,27.74345,-672.97297
7.99485,-670.81081,77.99485,-670.81081,-92.00515,-670.81081,-12.00515,-670.81081,27.99485,-670.81081
8.24539,-668.64865,78.24539,-668.64865,-91.75461,-668.64865,-11.75461,-668.64865,28.24539,-668.64865
8.49507,-666.48649,78.49507,-666.48649,-91.50493,-666.48649,-11.50493,-666.48649,28.49507,-666.48649
8.74388,-664.32432,78.74388,-664.32432,-91.25612,-664.32432,-11.25612,-664.32432,28.74388,-664.32432
8.99182,-662.16216,78.99182,-662.16216,-91.00818,-662.16216,-11.00818,-662.16216,28.99182,-662.16216
9.2389,-660,79.2389,-660,-90.7611,-660,-10.7611,-660,29.2389,-660
9.48511,-657.83784,79.48511,-657.83784,-90.51489,-657.83784,-10.51489,-657.83784,29.48511,-657.83784
9.73045,-655.67568,79.73045,-655.67568,-90.26955,-655.67568,-10.26955,-655.67568,29.73045,-655.67568
9.97493,-653.51351,79.97493,-653.51351,-90.02507,-653.51351,-10.02507,-653.51351,29.97493,-653.51351
10.21855,-651.35135,80.21855,-651.35135,-89.78145,-651.35135,-9.78145,-651.35135,30.21855,-651.35135
10.4613,-649.18919,80.4613,-649.18919,-89.5387,-649.18919,-9.5387,-649.18919,30.4613,-649.18919
10.70318,-647.02703,80.70318,-647.02703,-89.29682,-647.02703,-9.29682,-647.02703,30.70318,-647.02703
10.9442,-644.86486,80.9442,-644.86486,-89.0558,-644.86486,-9.0558,-644.86486,30.9442,-644.86486
11.18435,-642.7027,81.18435,-642.7027,-88.81565,-642.7027,-8.81565,-642.7027,31.18435,-642.7027
